Index,Text
00_00,＊「おおっ　<&40>が<F1>　　かえってきたぞ!<F7>
00_01,＊「ゆうしゃだ!<F1><FA><F7>＊「ゆうしゃが　まおうバラモスを<F1>　　たおして　もどってきた!<F7>
00_02,<EB>＊「わ-い!　わ-い!<F1><F7>
00_03,＊「これで[・・・]　これで　平和が<F1>　　やってくるのじゃな[・・・][・・・].<F7>
00_04,<EB>＊「おつかれさま[・・・][・・・]　そして<F1>　　ありがとう　<&40>さん!<F7>
00_05,<EB>＊「アリアハンに　ようこそ<F1>　　おかえりなさいまし!<FA><F7><F1>＊「バラモスを　たおしたという<F1>　　うわさは[・・・]<FA><F7><F1>＊「すでに　ここにも<F1>　　とどいて　いますわ!<F7>
00_06,＊「まおうバラモスを　たおして<F1>　　しまうとは[・・・][・・・]<FA><F7><F1>＊「そなたこそ<F1>　　まことの　ゆうしゃじゃ!<F7>
00_07,＊「さあ　はやく　お城に!<F1><FA><F7>＊「王さまも　きっと<F1>　　およろこび　でしょう!<F7>
00_08,＊「さすが　オルテガの息子!<F1>　　若き　えいゆうの　たんじょうだ!<F7>
00_09,<EB>＊「もう　まおうバラモスは<F1>　　いなくなったんだよねっ.<FA><F7><F1>＊「これで　まものも　いなく<F1>　　なるのかなあ.<FA><F7><F1>＊「そしたら　外へ<F1>　　あそびに　いけるのに.<F7>
00_0A,＊「これで　きっと　平和な　世の中が<F1>　　おとずれることでしょう!<F7>
00_0B,＊「なんと　まおうバラモスを<F1>　　たおしなさったと　いうか?<FA><F7><F1>＊「たいしたもんじゃ!<F1><F7>
00_0C,＊「バラモスが　いなくなったって<F1>　　オレのしごとは　かわらないのさ.<F7>
00_0D,<EB>＊「おかえりなさい　<&40>.<F1><FA><F7>＊「母さんは　うれしくて<F1>　　うれしくて[・・・][・・・].<FA><F7><F1>＊「今の　おまえのすがたを<F1>　　父さんに　見せたかったわ.<FA><F7><F1>＊「ああ　<&40>[・・・][・・・].<F1><F7>
00_0E,＊「<&40>くらい　りっぱな<F1>　　ゆうしゃは　おらん!<FA><F7><F1>＊「このじいの　マゴじゃ!<F1><F7>
00_0F,＊「カエルの子は　カエル.<F1><FA><F7>＊「カエルのマゴも　また　カエルと<F1>　　いうことじゃな.ふぉっふぉっ.<F7>
00_10,<EB>＊「バラモスを　たおしたんですって?<F1>　　すごいじゃない!<FA><F7><F1>＊「さすが　私が<F1>　　見込んだだけのことは　あるわね!<F7>
00_11,＊「つれてゆくなら[・・・]<F1><FA><F7>＊「せんし　そうりょ　まほうつかいの<F1>　　3人がいいぜ.　ひっく!<F7>
00_12,＊「これで世界中の　人々が<F1>　　すくわれることでしょう.<FA><F7><F1>＊「心より　かんしゃ　いたしますわ.<F1><F7>
00_13,＊「あなたこそ　まことの<F1>　　ゆうしゃです!<F7>
00_14,<EB>＊「にゃ~ん.<F7>
00_15,＊「なんと　まおうバラモスを<F1>　　たおしなさったと　いうか?<FA><F7><F1>＊「たいしたもんじゃ!<F1><F7>
00_16,＊「さあ　早く　王さまのもとへ!<F1>　　王が　おまちかねですぞ!<F7>
00_17,＊「ゆうしゃ　<&40>　ばんざい!<F7>
00_18,<EB>＊「バラモスが　いなくなったのに[・・・]<F1><FA><F7>＊「まだ　お城の外に<F1>　　あそびに　行かせてもらえないの.<FA><F7><F1>＊「お父さまったら[・・・]<F1><FA><F7>＊「けっきょく　私を外に<F1>　　出したくなかった　だけなのね[・・・].<F7>
00_19,＊「まおうバラモス[・・・]　一体ヤツは<F1>　　何者だったのじゃろう?<F7>
00_1A,＊「これで　オルテガさまも<F1>　　うかばれる　ことでしょう[・・・][・・・].<F7>
00_1B,＊「あなたの　おかげで　商売も<F1>　　やりやすく　なりますよ.<FA><F7><F1>＊「ありがたいことです.<F1><F7>
00_1C,<EB>＊「ああ!　バラモスが<F1>　　いなくなったなんて[・・・]<FA><F7><F1>＊「まるで　ゆめのようですわ!<F1><F7>
00_1D,＊「さあ　はやく　王さまのもとへ!<F7>
00_1E,＊「これで　また　アリアハンの名が<F1>　　世界に　とどろくだろう!<FA><F7><F1>＊「めでたい!　じつに　めでたい!<F1><F7>
00_1F,王「おお　<&40>よ!<F1><FA><F7>王「よくぞ　まおうバラモスを<F1>　　うちたおした!<FA><F7><F1>王「さすが　オルテガの息子よ!<F1><FA><F7>王「国中の者が　<&40>を<F1>　　たたえるであろう.<FA><F7><F1>王「さあ　みなのもの!<F1>　　いわいのうたげじゃ!<F7>
00_20,王「おお　<&40>よ!<F1><FA><F7>王「よくぞ　まおうバラモスを<F1>　　うちたおした!<FA><F7><F1>王「さすが　オルテガの　むすめよ!<F1><FA><F7>王「国中の者が　<&40>を<F1>　　たたえるであろう.<FA><F7><F1>王「さあ　みなのもの!<F1>　　いわいのうたげじゃ!<F7>
00_21,王「おお　<&40>よ!<F1><FA><F7>王「よくぞ　まおうバラモスを<F1>　　うちたおした!<FA><F7><F1>王「しかも　そなた一人で[・・・]<F1><FA><F7>王「あのきょうだいなまおうをたおして<F1>　　しまうとは!<FA><F7><F1>王「さすが　オルテガの子!<F1><FA><F7>王「なみの強さではないと<F1>　　いうことじゃなっ.<FA><F7><F1>王「うむ!　その強さをたたえ<F1>　　ほうびを　とらせようぞ!<FA><F7><F1>王「さあ　受け取るがよい!<F1><FA><F7><FE><&40>は　バスタ-ドソ-ドを<F1>受け取った!<FA><F7><F1><xE3>王「さあ　みなのもの!<F1>　　いわいのうたげじゃ!<F7>
